From 100000 events 
Particle 5122 decay report 
# of Particle 5122 : 4286
(22, 3124) : 1, fraction(0)
(111, 313, -321, 4122) : 2, fraction(0)
(111, 111, 421, 2112) : 1, fraction(0)
(111, 213, 223, -4122) : 5, fraction(0)
(111, 211, 223, -4122) : 9, fraction(0)
(111, -2112, -2212, 2212) : 1, fraction(0)
(111, 211, -413, -2112) : 2, fraction(0)
(111, -411, 413, -3122) : 2, fraction(0)
(111, 113, 211, -4122) : 16, fraction(0)
(111, -411, 413, 3122) : 1, fraction(0)
(111, -213, 221, 4122) : 5, fraction(0)
(111, -2112, 2212, -4122) : 2, fraction(0)
(111, 2114, -2214, 4122) : 1, fraction(0)
(111, -311, 321, -4122) : 3, fraction(0)
(111, 111, -213, 4122) : 3, fraction(0)
(111, -311, 323, -4122) : 1, fraction(0)
(111, 111, -211, 4122) : 10, fraction(0)
(111, 313, -323, 4122) : 1, fraction(0)
(111, -213, 221, 2212) : 1, fraction(0)
(111, -213, 223, 4122) : 9, fraction(0)
(111, -211, 331, 4122) : 3, fraction(0)
(111, 323, 421, -4122) : 1, fraction(0)
(111, -3212, 3222, -4122) : 1, fraction(0)
(111, 113, 213, -4122) : 3, fraction(0)
(111, 223, -423, -2112) : 1, fraction(0)
(111, -321, 441, 2212) : 1, fraction(0)
(111, 211, -423, -2212) : 2, fraction(0)
(111, 111, 213, -4122) : 4, fraction(0)
(111, -211, 413, 2112) : 4, fraction(0)
(111, 323, 421, -2212) : 1, fraction(0)
(111, 421, -421, 3122) : 1, fraction(0)
(111, 113, -211, 4122) : 21, fraction(0)
(111, 413, -413, 3122) : 1, fraction(0)
(111, -211, 221, 4122) : 3, fraction(0)
(111, 321, 423, -4122) : 1, fraction(0)
(111, 213, 331, -4122) : 1, fraction(0)
(111, 211, 221, -4122) : 11, fraction(0)
(111, -311, -413, 4122) : 1, fraction(0)
(111, -211, 411, 2112) : 2, fraction(0)
(111, -3112, 3122, -4122) : 1, fraction(0)
(111, 113, -213, 4122) : 9, fraction(0)
(111, 421, -423, -3122) : 1, fraction(0)
(111, 311, -321, 4122) : 1, fraction(0)
(111, 3122, -3222, 4122) : 1, fraction(0)
(111, 111, 211, -4122) : 16, fraction(0)
(111, -211, 223, 4122) : 14, fraction(0)
(111, 211, 331, -4122) : 2, fraction(0)
(111, -213, 331, 4122) : 2, fraction(0)
(111, 2112, -2212, 4122) : 4, fraction(0)
(111, -1114, 2114, -4122) : 2, fraction(0)
(111, -321, -421, 4122) : 1, fraction(0)
(111, 311, 411, -4122) : 2, fraction(0)
(111, 211, -411, -2112) : 1, fraction(0)
(111, -213, 421, 2212) : 1, fraction(0)
(111, -213, 423, 2212) : 2, fraction(0)
(111, -211, 421, 2212) : 1, fraction(0)
(113, 113, -213, 4122) : 3, fraction(0)
(113, -311, 321, -4122) : 4, fraction(0)
(113, 113, -211, 4122) : 3, fraction(0)
(113, 2112, -2212, 4122) : 3, fraction(0)
(113, -213, 331, 4122) : 1, fraction(0)
(113, -211, 423, 2212) : 1, fraction(0)
(113, 211, -421, -2212) : 1, fraction(0)
(113, 313, -323, 4122) : 2, fraction(0)
(113, 211, -423, -2212) : 2, fraction(0)
(113, -213, 223, 4122) : 4, fraction(0)
(113, 113, 213, -4122) : 1, fraction(0)
(113, -2214, 2224, -4122) : 1, fraction(0)
(113, 313, -321, 4122) : 1, fraction(0)
(113, -311, 443, 2112) : 1, fraction(0)
(113, -213, 413, 2112) : 1, fraction(0)
(113, -211, 223, 4122) : 5, fraction(0)
(113, -213, 221, 4122) : 3, fraction(0)
(113, 211, 223, -4122) : 8, fraction(0)
(113, 213, 223, -4122) : 7, fraction(0)
(113, 311, 411, -4122) : 1, fraction(0)
